OBJECTID_First,COUNT,AREA,MEAN
1,3372124.000000000000000,36297095.461219482123852,0.555650681884771
2,4005495.000000000000000,43114616.895593799650669,0.454196297835846
3,3027854.000000000000000,32591418.844809755682945,0.467602797228674
4,1589627.000000000000000,17110534.181640990078449,0.330987080617025
5,1738822.000000000000000,18716449.372581966221333,0.437724505441041
6,3476409.000000000000000,37419605.368972957134247,0.320284811137009
7,1200466.000000000000000,12921656.795523624867201,0.224397025821638
8,2151901.000000000000000,23162776.938242387026548,0.351818694261491
9,7105653.000000000000000,76484306.406081333756447,0.528742819273604
10,3393038.000000000000000,36522210.983209758996964,0.496492523809048
11,1017087.000000000000000,10947789.562710428610444,0.433617773110854
12,2301071.000000000000000,24768423.032499331980944,0.343764707825185
13,3365400.000000000000000,36224719.217083372175694,0.405252273132468
14,1392209.000000000000000,14985553.014945155009627,0.265348808979110
15,730113.000000000000000,7858839.490622924640775,0.404782547359103
16,1532809.000000000000000,16498952.765917379409075,0.339362568982828
17,1707716.000000000000000,18381628.514447242021561,0.475323180200924
18,1894256.000000000000000,20389520.331988912075758,0.372045805846728
19,2738310.000000000000000,29474805.633604198694229,0.302122842190982
20,453350.000000000000000,4879799.268159727565944,0.173462005073343
21,1409102.000000000000000,15167387.026276405900717,0.318552524941418
22,1171058.000000000000000,12605112.984168069437146,0.190026454710187
23,26820433.000000000000000,288691583.379567682743073,0.751527613293934
24,26071901.000000000000000,280634484.216020464897156,0.723935588739754
25,24976368.000000000000000,268842312.314300298690796,0.719358154876679
26,7488054.000000000000000,80600420.048837587237358,0.447751178076449
27,5894942.000000000000000,63452373.789443120360374,0.604768460826239
28,6547430.000000000000000,70475668.076159805059433,0.655398988610792
29,8265788.000000000000000,88971845.667063981294632,0.633260978868551
30,3822975.000000000000000,41149995.824843794107437,0.591146162347388
31,3887009.000000000000000,41839249.307445183396339,0.574820382458596
32,9477980.000000000000000,102019719.571263998746872,0.670143005155099
33,6892370.000000000000000,74188556.483701467514038,0.506486883321703
34,52360066.000000000000000,563596805.443024158477783,0.717167602500743
35,9284610.000000000000000,99938310.539645940065384,0.494922780816872
36,40004530.000000000000000,430603454.763590753078461,0.722957700040457
37,18219437.000000000000000,196111603.262120336294174,0.618309171682960
38,12294892.000000000000000,132340586.707186251878738,0.522520653292450
39,3197979.000000000000000,34422621.779618784785271,0.556567757324242
40,6242456.000000000000000,67192968.391572296619415,0.521252853043744
41,66975719.000000000000000,720917755.731050133705139,0.781218951901039
42,5989483.000000000000000,64470000.573629930615425,0.594091343109251
43,5203999.000000000000000,56015154.983354918658733,0.540806406765275
44,7366258.000000000000000,79289424.059723690152168,0.535739041450916
45,5405010.000000000000000,58178810.725479230284691,0.633174221694318
46,3810141.000000000000000,41011852.351131290197372,0.356333007098689
47,21113140.000000000000000,227259038.536569684743881,0.749487617663717
48,16590294.000000000000000,178575724.097837686538696,0.659386747456078
49,6023297.000000000000000,64833969.984578542411327,0.464400975080597
50,2588495.000000000000000,27862216.844899334013462,0.429058584235233
51,2322891.000000000000000,25003290.618318777531385,0.522436911589904
52,4356458.000000000000000,46892336.076251439750195,0.504423777297996
53,6136780.000000000000000,66055485.944319516420364,0.585320640466171
54,5768120.000000000000000,62087278.602972291409969,0.552113340221778
55,5884176.000000000000000,63336489.993433400988579,0.623494946446189
56,13590244.000000000000000,146283583.821136265993118,0.685115219417719
57,1540480.000000000000000,16581522.392444461584091,0.282297725384296
58,1408353.000000000000000,15159324.889622932299972,0.491049474102012
59,7436707.000000000000000,80047727.751446619629860,0.595211159993253
60,10366949.000000000000000,111588463.975403591990471,0.618092169644117
61,9814153.000000000000000,105638241.153650805354118,0.478954831863732
62,6829126.000000000000000,73507806.456315353512764,0.642691465935761
63,9960751.000000000000000,107216202.581054970622063,0.373631466141465
64,12652769.000000000000000,136192727.266778618097305,0.538061273386106
65,185570777.000000000000000,1997459229.726330518722534,0.727443578037239
66,1524715.000000000000000,16411830.023496545851231,0.252490465431246
67,1248383.000000000000000,13437429.027865987271070,0.296525986015515
68,21175466.000000000000000,227929907.333718299865723,0.538418375302794
69,20650116.000000000000000,222275109.615558564662933,0.654846684638448
70,3929718.000000000000000,42298963.318570882081985,0.524990851760861
71,5716832.000000000000000,61535221.373755618929863,0.683416444632282
72,1624273.000000000000000,17483459.130234047770500,0.407735029764085
73,733627.000000000000000,7896663.720529869198799,0.469002640306309
74,2910991.000000000000000,31333521.013388227671385,0.665372033097990
75,17105331.000000000000000,184119514.051902294158936,0.744043362855705
76,148634432.000000000000000,1599881311.342090606689453,0.671017802927391
77,74587483.000000000000000,802849773.811130762100220,0.639632068024032
78,108434890.000000000000000,1167178773.276674747467041,0.576091044128003
79,33636847.000000000000000,362062559.553988575935364,0.741736762663859
80,47363932.000000000000000,509819081.748686671257019,0.693772995873741
81,42837939.000000000000000,461101893.419369220733643,0.817918434404634
82,10853749.000000000000000,116828314.606792479753494,0.574616383703012
83,21619084.000000000000000,232704952.644719690084457,0.627957317710585
84,48600286.000000000000000,523127032.216065824031830,0.639538746747269
85,16675335.000000000000000,179491094.142093956470490,0.721697045366692
86,8919844.000000000000000,96012017.697802886366844,0.683003873161914
87,10211417.000000000000000,109914338.156995251774788,0.723757241526810
88,67743782.000000000000000,729185083.988027215003967,0.677894201419061
89,36990463.000000000000000,398160437.358088612556458,0.782328407189682
90,3838135.000000000000000,41313176.054038241505623,0.475896496605772
91,4676950.000000000000000,50342069.454548664391041,0.474303552528903
92,27346768.000000000000000,294356983.507078111171722,0.740818805352111
93,49663933.000000000000000,534575987.443109571933746,0.668822865881355
94,90728387.000000000000000,976588323.555558681488037,0.641055185958479
95,70348273.000000000000000,757219479.655234813690186,0.661415753589233
96,1099243.000000000000000,11832105.849629873409867,0.513723535196497
97,3271712.000000000000000,35216274.011755593121052,0.663871697753345
